name,lat,lon,country,source
Iridimi,15.084,21.937,chad,unhcr_known
Touloum,14.6,21.95,chad,unhcr_known
Am Nabak,14.27,21.51,chad,unhcr_known
Farchana,13.683,21.467,chad,unhcr_known
Gaga,13.2,21.35,chad,unhcr_known
Bredjing,13.083,21.283,chad,unhcr_known
Treguine,13.05,21.3,chad,unhcr_known
Djabal,12.9,21.467,chad,unhcr_known
Goz Amer,11.617,21.383,chad,unhcr_known
Kounoungou,13.283,21.333,chad,unhcr_known
Oure Cassoni,15.317,22.217,chad,unhcr_known
Mile,14.75,21.95,chad,unhcr_known
Amboko,8.5,16.617,chad,unhcr_known
Gondje,8.45,16.65,chad,unhcr_known
Dosseye,8.333,16.733,chad,unhcr_known
Belom,8.283,16.617,chad,unhcr_known
Moyo,8.817,17.05,chad,unhcr_known
Dar es Salam,13.8,14.5,chad,unhcr_known
Baga Sola,13.65,14.717,chad,unhcr_known
